,Titles,urls,Ratings,Ratings_counts,Prices,Discount_prct,Qty_sold_last_month_,Series,Colour,Form Factor,Standing screen display size,Screen Resolution,Resolution,Batteries,Item model number,Processor Brand,Processor Type,Processor Speed,Processor Count,Memory Technology,Computer Memory Type,Maximum Memory Supported,Hard Drive Size,Hard Disk Description,Speaker Description,Graphics Coprocessor,Graphics Chipset Brand,Graphics Card Description,Graphics RAM Type,Graphics Card Interface,Connectivity Type,Wireless Type,Number of HDMI Ports,Optical Drive Type,Operating System,Are Batteries Included,Lithium Battery Energy Content,Number of Lithium Ion Cells,Included Components,Item Weight,Prices_Category,Processor Speed_Base
73,Lenovo|IdeaPad Slim 3|15IAH8|Core i5||512 GB|SSD15.6 Inches,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTY3MTkyNDkyMTA1MDI2OjE3NjgwODIyMzQ6c3BfYXRmX25leHQ6MzAwODk1MzIzMzgzMDMyOjowOjo&url=%2FLenovo-IdeaPad-i5-12450H-Windows-83ER00MCIN%2Fdp%2FB0FJF95B56%2Fref%3Dsr_1_66_sspa%3Fcrid%3D3GZCZ3LUIW710%26dib%3DeyJ2IjoiMSJ9.QUMg8ZuunpQKyxklnUmcfLBmCic3vzXGLvKS0YKUUXwWS7sGYfOCxJZvQEO_eYoN7JLF7nTbcnkE0cxct2uhKrx8PyoGmovbYz-xeXu8K1jKXQdu7uZjOQYhbhdXh5oXfIS7Np-mSOYBSf_XurTDzAV3iN1B01VnIzbs4Uqr4xErXYPndNGmSl_rMiD95d2z0uujv-2A8PdNsI9_iCTtQDHakTx89N6D34kIJG3jq3M.MbNuFN0KzdA1g58q2JWRJPqnGoRIsC2r4cf0e42-U58%26dib_tag%3Dse%26keywords%3Dlenovo%2Blaptops%26qid%3D1768082234%26refinements%3Dp_123%253A391242%26rnid%3D91049095031%26sprefix%3Dlenovo%2Blaptops%252Caps%252C392%26sr%3D8-66-spons%26xpid%3DIzsIf9sZEUUR3%26aref%3DwXafbUnlRy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=wXafbUnlRy&sp_cr=ZAZ,4.6,7,50690,34,50,IdeaPad Slim 3,Arctic Grey,Thin & Light,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 D batteries required. (included),15IAH8,Intel,Core i5,2,8.0,DDR5,DDR4 SDRAM,16 GB,512 GB,SSD,"Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1.0,No Optical Drive,"Windows 11 Home 64, English",Yes,47 Watt Hours,3.0,"Laptop, Power Adapter, User Manual",1 kg 620 g,Medium,2.0
74,Lenovo|LOQ|15ARP9|Ryzen 5|24|512|SSD15.6,https://www.amazon.in/Lenovo-Smartchoice-7235HS-Windows-83JC00EFIN/dp/B0DPQG53ZR/ref=sr_1_67?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.QUMg8ZuunpQKyxklnUmcfLBmCic3vzXGLvKS0YKUUXwWS7sGYfOCxJZvQEO_eYoN7JLF7nTbcnkE0cxct2uhKrx8PyoGmovbYz-xeXu8K1jKXQdu7uZjOQYhbhdXh5oXfIS7Np-mSOYBSf_XurTDzAV3iN1B01VnIzbs4Uqr4xErXYPndNGmSl_rMiD95d2z0uujv-2A8PdNsI9_iCTtQDHakTx89N6D34kIJG3jq3M.MbNuFN0KzdA1g58q2JWRJPqnGoRIsC2r4cf0e42-U58&dib_tag=se&keywords=lenovo+laptops&qid=1768082234&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-67&xpid=IzsIf9sZEUUR3,4.3,111,73990,22,0,LOQ,Luna Grey,Gaming Laptop,15.6,1920 x 1080 pixels,,1 D batteries required. (included),15ARP9,AMD,Ryzen 5,3.2,4.0,DDR5,DDR5 RAM,32 GB,512,SSD,"Stereo speakers, 2W x2, optimized with Nahimic Audio",NVIDIA GeForce RTX 3050,NVIDIA,Dedicated,Shared,PCI Express,Wi-Fi,802.11ax,1.0,Not Available,Windows 11 Home,Yes,60 Watt Hours,4.0,Laptop,2 kg 380 g,High,3.2
75,Lenovo|IdeaPad|15ALC7|Ryzen 5||512 GB|512GB NVMe M.2 SSD15.6,https://www.amazon.in/Lenovo-Ideapad-Windows-Display-82R4011CIN/dp/B0DT3SBQM7/ref=sr_1_68?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.QUMg8ZuunpQKyxklnUmcfLBmCic3vzXGLvKS0YKUUXwWS7sGYfOCxJZvQEO_eYoN7JLF7nTbcnkE0cxct2uhKrx8PyoGmovbYz-xeXu8K1jKXQdu7uZjOQYhbhdXh5oXfIS7Np-mSOYBSf_XurTDzAV3iN1B01VnIzbs4Uqr4xErXYPndNGmSl_rMiD95d2z0uujv-2A8PdNsI9_iCTtQDHakTx89N6D34kIJG3jq3M.MbNuFN0KzdA1g58q2JWRJPqnGoRIsC2r4cf0e42-U58&dib_tag=se&keywords=lenovo+laptops&qid=1768082234&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-68&xpid=IzsIf9sZEUUR3,4.0,2498,43000,49,0,IdeaPad,Cloud Grey,Thin & Light,15.6,1920 x 1080 pixels,1080,1 D batteries required. (included),15ALC7,AMD,Ryzen 5,2.3,6.0,DDR4,DDR4 SDRAM,16 GB,512 GB,512GB NVMe M.2 SSD,"Stereo speakers, 1.5W x2, Dolby Audio",Integrated AMD Radeon Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1.0,No Optical Drive,"Windows 11 Home 64, English",Yes,42 Watt Hours,3.0,Laptop,1 kg 610 g,Medium,2.3
76,Lenovo|LOQ|15IRX10|Intel Core i7||1 TB|SSD15.6,https://www.amazon.in/Lenovo-14700HX-NVIDIA-Windows-83JE00U6IN/dp/B0FLDNVXCQ/ref=sr_1_69?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.QUMg8ZuunpQKyxklnUmcfLBmCic3vzXGLvKS0YKUUXwWS7sGYfOCxJZvQEO_eYoN7JLF7nTbcnkE0cxct2uhKrx8PyoGmovbYz-xeXu8K1jKXQdu7uZjOQYhbhdXh5oXfIS7Np-mSOYBSf_XurTDzAV3iN1B01VnIzbs4Uqr4xErXYPndNGmSl_rMiD95d2z0uujv-2A8PdNsI9_iCTtQDHakTx89N6D34kIJG3jq3M.MbNuFN0KzdA1g58q2JWRJPqnGoRIsC2r4cf0e42-U58&dib_tag=se&keywords=lenovo+laptops&qid=1768082234&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-69&xpid=IzsIf9sZEUUR3,4.2,24,125990,22,0,LOQ,Luna Grey,Gaming Laptop,15.6,1920 x 1080 pixels,1920 x 1080,1 P76 batteries required. (included),15IRX10,Intel,Intel Core i7,2.1,20.0,DDR5,DDR5 RAM,32 GB,1 TB,SSD,"Stereo speakers, 2W x2, optimized with Nahimic Audio",NVIDIA GeForce RTX 5050,NVIDIA,Dedicated,Shared,PCI Express,,802.11ax,,Not Available,Windows 11 Home,Yes,60 Watt Hours,4.0,Laptop,2 kg 400 g,Premium,2.1
77,Lenovo|IdeaPad|Ideapad|Core i5|16 GB|512 GB|SSD15.6 Inches,https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Warranty-83ER008DIN/dp/B0CNVH114V/ref=sr_1_70?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.QUMg8ZuunpQKyxklnUmcfLBmCic3vzXGLvKS0YKUUXwWS7sGYfOCxJZvQEO_eYoN7JLF7nTbcnkE0cxct2uhKrx8PyoGmovbYz-xeXu8K1jKXQdu7uZjOQYhbhdXh5oXfIS7Np-mSOYBSf_XurTDzAV3iN1B01VnIzbs4Uqr4xErXYPndNGmSl_rMiD95d2z0uujv-2A8PdNsI9_iCTtQDHakTx89N6D34kIJG3jq3M.MbNuFN0KzdA1g58q2JWRJPqnGoRIsC2r4cf0e42-U58&dib_tag=se&keywords=lenovo+laptops&qid=1768082234&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-70&xpid=IzsIf9sZEUUR3,4.1,130,50640,32,0,IdeaPad,Arctic Grey,Thin & Light,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 Lithium Ion batteries required. (included),Ideapad,Intel,Core i5,2,8.0,Lpddr 5,DDR5 RAM,16 GB,512 GB,SSD,"User-facing stereo speakers, 1.5W x2, optimized with Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,Bluetooth,1.0,No Optical Drive,Windows 11 Home,Yes,47 Watt Hours,4.0,"Laptop, Adapter and User Guide",2 kg 470 g,Medium,2.0
78,Lenovo|IdeaPad|15IAH8|Core i5 Family||512 GB|SSD39.6 Centimetres,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTY3MTkyNDkyMTA1MDI2OjE3NjgwODIyMzQ6c3BfbXRmOjMwMDQ3MjU0MDU5NzUzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-Windows-83ER00KPIN%2Fdp%2FB0DR96PF63%2Fref%3Dsr_1_75_sspa%3Fcrid%3D3GZCZ3LUIW710%26dib%3DeyJ2IjoiMSJ9.QUMg8ZuunpQKyxklnUmcfLBmCic3vzXGLvKS0YKUUXwWS7sGYfOCxJZvQEO_eYoN7JLF7nTbcnkE0cxct2uhKrx8PyoGmovbYz-xeXu8K1jKXQdu7uZjOQYhbhdXh5oXfIS7Np-mSOYBSf_XurTDzAV3iN1B01VnIzbs4Uqr4xErXYPndNGmSl_rMiD95d2z0uujv-2A8PdNsI9_iCTtQDHakTx89N6D34kIJG3jq3M.MbNuFN0KzdA1g58q2JWRJPqnGoRIsC2r4cf0e42-U58%26dib_tag%3Dse%26keywords%3Dlenovo%2Blaptops%26qid%3D1768082234%26refinements%3Dp_123%253A391242%26rnid%3D91049095031%26sprefix%3Dlenovo%2Blaptops%252Caps%252C392%26sr%3D8-75-spons%26xpid%3DIzsIf9sZEUUR3%26aref%3DiejkyDeOsy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=iejkyDeOsy&sp_cr=ZAZ,3.9,320,50850,30,100,IdeaPad,"i5-12th Gen | 15.6""",Ultra-Portable,39.6 Centimetres,1920 x 1080 pixels,1920 x 1080,1 D batteries required. (included),15IAH8,Intel,Core i5 Family,2,5.0,Lpddr 5,DDR5 RAM,16 GB,512 GB,SSD,"Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,"802.11ax, Bluetooth",1.0,No Optical Drive,Windows 11,Yes,47 Watt Hours,4.0,Laptop,1 kg 370 g,Medium,2.0
79,Lenovo|IdeaPad Slim 3|14IRH10|Core i5 Family||512 GB|SSD14 Inches,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTY3MTkyNDkyMTA1MDI2OjE3NjgwODIyMzQ6c3BfbXRmOjMwMDg5NTQxMDExNDUzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-13420H-Keyboard-83K00034IN%2Fdp%2FB0FCY79NDV%2Fref%3Dsr_1_76_sspa%3Fcrid%3D3GZCZ3LUIW710%26dib%3DeyJ2IjoiMSJ9.QUMg8ZuunpQKyxklnUmcfLBmCic3vzXGLvKS0YKUUXwWS7sGYfOCxJZvQEO_eYoN7JLF7nTbcnkE0cxct2uhKrx8PyoGmovbYz-xeXu8K1jKXQdu7uZjOQYhbhdXh5oXfIS7Np-mSOYBSf_XurTDzAV3iN1B01VnIzbs4Uqr4xErXYPndNGmSl_rMiD95d2z0uujv-2A8PdNsI9_iCTtQDHakTx89N6D34kIJG3jq3M.MbNuFN0KzdA1g58q2JWRJPqnGoRIsC2r4cf0e42-U58%26dib_tag%3Dse%26keywords%3Dlenovo%2Blaptops%26qid%3D1768082234%26refinements%3Dp_123%253A391242%26rnid%3D91049095031%26sprefix%3Dlenovo%2Blaptops%252Caps%252C392%26sr%3D8-76-spons%26xpid%3DIzsIf9sZEUUR3%26aref%3DKVlowxUplg%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=KVlowxUplg&sp_cr=ZAZ,4.1,410,60600,27,50,IdeaPad Slim 3,Luna Grey,Thin & Light,14 Inches,1920 x 1200 pixels,1080 Pixels,1 D batteries required. (included),14IRH10,Intel,Core i5 Family,2.1,8.0,DDR5,DDR5 RAM,24 GB,512 GB,SSD,"User-facing stereo speakers, 2W x2, optimized with Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,50 Watt Hours,4.0,Laptop,1 kg 390 g,High,2.1
80,Lenovo|IdeaPad Slim 3|15IRH8|Core i5 Family||512 GB|SSD15.6 Inches,https://www.amazon.in/Lenovo-IdeaPad-Integrated-Graphics-83EM00H0IN/dp/B0DPWRX9V6/ref=sr_1_77?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.QUMg8ZuunpQKyxklnUmcfLBmCic3vzXGLvKS0YKUUXwWS7sGYfOCxJZvQEO_eYoN7JLF7nTbcnkE0cxct2uhKrx8PyoGmovbYz-xeXu8K1jKXQdu7uZjOQYhbhdXh5oXfIS7Np-mSOYBSf_XurTDzAV3iN1B01VnIzbs4Uqr4xErXYPndNGmSl_rMiD95d2z0uujv-2A8PdNsI9_iCTtQDHakTx89N6D34kIJG3jq3M.MbNuFN0KzdA1g58q2JWRJPqnGoRIsC2r4cf0e42-U58&dib_tag=se&keywords=lenovo+laptops&qid=1768082234&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-77&xpid=IzsIf9sZEUUR3,3.9,29,59300,32,0,IdeaPad Slim 3,Arctic Grey,Thin & Light,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 D batteries required. (included),15IRH8,Intel,Core i5 Family,2.1,8.0,Lpddr 5,DDR5 RAM,16 GB,512 GB,SSD,"User-facing stereo speakers, 1.5W x2, optimized with Dolby Audio",Intel UHD Graphics,AMD,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",802.11bgn,1.0,No Optical Drive,Windows 11 Home,Yes,47 Watt Hours,4.0,"Laptop, Power Adapter, User Guide",1 kg 620 g,Medium,2.1
81,Lenovo|Legion 5|15AHP10|AMD Ryzen 7||1 TB|SSD15 Inches,https://www.amazon.in/Lenovo-Legion-Windows-83M00074IN-Powered/dp/B0FY33Z1YB/ref=sr_1_79?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.QUMg8ZuunpQKyxklnUmcfLBmCic3vzXGLvKS0YKUUXwWS7sGYfOCxJZvQEO_eYoN7JLF7nTbcnkE0cxct2uhKrx8PyoGmovbYz-xeXu8K1jKXQdu7uZjOQYhbhdXh5oXfIS7Np-mSOYBSf_XurTDzAV3iN1B01VnIzbs4Uqr4xErXYPndNGmSl_rMiD95d2z0uujv-2A8PdNsI9_iCTtQDHakTx89N6D34kIJG3jq3M.MbNuFN0KzdA1g58q2JWRJPqnGoRIsC2r4cf0e42-U58&dib_tag=se&keywords=lenovo+laptops&qid=1768082234&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-79&xpid=IzsIf9sZEUUR3,4.0,2,149016,28,0,Legion 5,Eclipse Black,Gaming Laptop,15 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,1 P76 batteries required. (included),15AHP10,AMD,AMD Ryzen 7,3.8,8.0,DDR5,DDR5 RAM,32 GB,1 TB,SSD,"Stereo speakers, 2W x2, audio by HARMAN, optimized with Nahimic Audio",NVIDIA RTX 5060,NVIDIA,Dedicated,Shared,PCI Express,,802.11ax,1.0,Not Available,Windows 11 Home,Yes,80 Watt Hours,5.0,"Laptop, Power Adapter, User Guide",2 kg 100 g,Premium,3.8
82,Lenovo|Yoga Slim 7|14IMH9|Intel Core Ultra 5|16|512 GB|SSD14 Inches,https://www.amazon.in/Lenovo-Built-WUXGA-OLED-400Nits-83CV003MIN/dp/B0D9VLF328/ref=sr_1_80?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.QUMg8ZuunpQKyxklnUmcfLBmCic3vzXGLvKS0YKUUXwWS7sGYfOCxJZvQEO_eYoN7JLF7nTbcnkE0cxct2uhKrx8PyoGmovbYz-xeXu8K1jKXQdu7uZjOQYhbhdXh5oXfIS7Np-mSOYBSf_XurTDzAV3iN1B01VnIzbs4Uqr4xErXYPndNGmSl_rMiD95d2z0uujv-2A8PdNsI9_iCTtQDHakTx89N6D34kIJG3jq3M.MbNuFN0KzdA1g58q2JWRJPqnGoRIsC2r4cf0e42-U58&dib_tag=se&keywords=lenovo+laptops&qid=1768082234&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-80&xpid=IzsIf9sZEUUR3,4.0,109,83999,33,0,Yoga Slim 7,Luna Grey 3,Thin & Light,14 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,1 Lithium Polymer batteries required. (included),14IMH9,Intel,Intel Core Ultra 5,4.5,14.0,Lpddr 5,DDR5 RAM,16 GB,512 GB,SSD,"Stereo speakers, 2W x2, optimized with Dolby Atmos",Integrated Intel Arc Graphics,Intel,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1.0,No Optical Drive,Windows 11 Home,Yes,65 Watt Hours,4.0,"Laptop,Power Adapter,User Guide,Warranty Card",1 kg 390 g,High,4.5
83,Lenovo||Lenovo 15|Ryzen 5||512 GB|SSD15.6 Inches,https://www.amazon.in/Lenovo-15-Ryzen-7520U-Quad/dp/B0FG8F6GXN/ref=sr_1_81?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.QUMg8ZuunpQKyxklnUmcfLBmCic3vzXGLvKS0YKUUXwWS7sGYfOCxJZvQEO_eYoN7JLF7nTbcnkE0cxct2uhKrx8PyoGmovbYz-xeXu8K1jKXQdu7uZjOQYhbhdXh5oXfIS7Np-mSOYBSf_XurTDzAV3iN1B01VnIzbs4Uqr4xErXYPndNGmSl_rMiD95d2z0uujv-2A8PdNsI9_iCTtQDHakTx89N6D34kIJG3jq3M.MbNuFN0KzdA1g58q2JWRJPqnGoRIsC2r4cf0e42-U58&dib_tag=se&keywords=lenovo+laptops&qid=1768082234&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-81&xpid=IzsIf9sZEUUR3,3.8,21,41999,47,0,,,,15.6 Inches,,1920 x 1080,1 12V batteries required. (included),Lenovo 15,,Ryzen 5,2.8,,,DDR5 RAM,16 GB,512 GB,SSD,,,,,,,,,,,Windows 11 Home,Yes,65 Watt Hours,2.0,,1 kg 500 g,Medium,2.8
84,Lenovo|V15 Ryzen 7||AMD Ryzen 7||512 GB|SSD15.6 Inches,https://www.amazon.in/Lenovo-Anti-Glare-Windows-Lifetime-Warranty/dp/B0FVFPCJ25/ref=sr_1_82?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.QUMg8ZuunpQKyxklnUmcfLBmCic3vzXGLvKS0YKUUXwWS7sGYfOCxJZvQEO_eYoN7JLF7nTbcnkE0cxct2uhKrx8PyoGmovbYz-xeXu8K1jKXQdu7uZjOQYhbhdXh5oXfIS7Np-mSOYBSf_XurTDzAV3iN1B01VnIzbs4Uqr4xErXYPndNGmSl_rMiD95d2z0uujv-2A8PdNsI9_iCTtQDHakTx89N6D34kIJG3jq3M.MbNuFN0KzdA1g58q2JWRJPqnGoRIsC2r4cf0e42-U58&dib_tag=se&keywords=lenovo+laptops&qid=1768082234&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-82&xpid=IzsIf9sZEUUR3,5.0,1,51971,60,0,V15 Ryzen 7,Iron Grey,,15.6 Inches,,1920 x 1080,1 12V batteries required. (included),,Ryzen,AMD Ryzen 7,4.4,1.0,DDR4,,16 GB,512 GB,SSD,,,Intel,Integrated,DDR4 SDRAM,Integrated,,,,,Windows 11,Yes,38 Watt Hours,3.0,Webcam,1.6 g,Medium,4.4
85,Lenovo|IdeaPad Flex 5 14ALC7||Ryzen 7|16 GB|512 GB|SSD14 Inches,https://www.amazon.in/Lenovo-IdeaPad-Backlit-Fingerprint-82R900ELIN/dp/B0CKWB92ST/ref=sr_1_83?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9.QUMg8ZuunpQKyxklnUmcfLBmCic3vzXGLvKS0YKUUXwWS7sGYfOCxJZvQEO_eYoN7JLF7nTbcnkE0cxct2uhKrx8PyoGmovbYz-xeXu8K1jKXQdu7uZjOQYhbhdXh5oXfIS7Np-mSOYBSf_XurTDzAV3iN1B01VnIzbs4Uqr4xErXYPndNGmSl_rMiD95d2z0uujv-2A8PdNsI9_iCTtQDHakTx89N6D34kIJG3jq3M.MbNuFN0KzdA1g58q2JWRJPqnGoRIsC2r4cf0e42-U58&dib_tag=se&keywords=lenovo+laptops&qid=1768082234&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-83&xpid=IzsIf9sZEUUR3,4.4,6,62490,29,0,IdeaPad Flex 5 14ALC7,Storm Grey,Convertible,14 Inches,1920 x 1200 pixels,1920 x 1200 Pixels,1 Lithium Ion batteries required. (included),,AMD,Ryzen 7,1.8,8.0,LPDDR4X,DDR4 SDRAM,16 GB,512 GB,SSD,"Front-facing stereo speakers, 2W x2, optimized with Dolby Audio",AMD Radeon,AMD,Integrated,Shared,Integrated,"Bluetooth, Wi-Fi","802.11ac, 802.11ax, 802.11bgn, 802.11n",,No Optical Drive,Windows 11 Home,Yes,52.5 Watt Hours,3.0,Laptop,1 kg 550 g,High,1.8
86,Lenovo|IdeaPad Slim 3|15IAH8|Core i5||512 GB|SSD15.6 Inches,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4OTgyMjk1OTMwNTEwNzI2OjE3NjgwODIyNzY6c3BfYXRmX25leHQ6MzAwODk1MzIzMzgzMDMyOjowOjo&url=%2FLenovo-IdeaPad-i5-12450H-Windows-83ER00MCIN%2Fdp%2FB0FJF95B56%2Fref%3Dsr_1_81_sspa%3Fcrid%3D3GZCZ3LUIW710%26dib%3DeyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg%26dib_tag%3Dse%26keywords%3Dlenovo%2Blaptops%26qid%3D1768082276%26refinements%3Dp_123%253A391242%26rnid%3D91049095031%26sprefix%3Dlenovo%2Blaptops%252Caps%252C392%26sr%3D8-81-spons%26xpid%3DIzsIf9sZEUUR3%26aref%3DwXafbUnlRy%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=wXafbUnlRy&sp_cr=ZAZ,4.6,7,50690,34,50,IdeaPad Slim 3,Arctic Grey,Thin & Light,15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1 D batteries required. (included),15IAH8,Intel,Core i5,2,8.0,DDR5,DDR4 SDRAM,16 GB,512 GB,SSD,"Stereo speakers, 1.5W x2, Dolby Audio",Intel UHD Graphics,Intel,Integrated,DDR4 SDRAM,Integrated,"Bluetooth, Wi-Fi",Bluetooth,1.0,No Optical Drive,"Windows 11 Home 64, English",Yes,47 Watt Hours,3.0,"Laptop, Power Adapter, User Manual",1 kg 620 g,Medium,2.0
87,Lenovo|IdeaPad Slim 3|14IRH10|Core i5 Family||512 GB|SSD14 Inches,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4OTgyMjk1OTMwNTEwNzI2OjE3NjgwODIyNzY6c3BfYXRmX25leHQ6MzAwODk1NDEwMTE0NTMyOjowOjo&url=%2FLenovo-IdeaPad-i5-13420H-Keyboard-83K00034IN%2Fdp%2FB0FCY79NDV%2Fref%3Dsr_1_82_sspa%3Fcrid%3D3GZCZ3LUIW710%26dib%3DeyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg%26dib_tag%3Dse%26keywords%3Dlenovo%2Blaptops%26qid%3D1768082276%26refinements%3Dp_123%253A391242%26rnid%3D91049095031%26sprefix%3Dlenovo%2Blaptops%252Caps%252C392%26sr%3D8-82-spons%26xpid%3DIzsIf9sZEUUR3%26aref%3DKVlowxUplg%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=KVlowxUplg&sp_cr=ZAZ,4.1,410,60600,27,50,IdeaPad Slim 3,Luna Grey,Thin & Light,14 Inches,1920 x 1200 pixels,1080 Pixels,1 D batteries required. (included),14IRH10,Intel,Core i5 Family,2.1,8.0,DDR5,DDR5 RAM,24 GB,512 GB,SSD,"User-facing stereo speakers, 2W x2, optimized with Dolby Audio",Intel UHD Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,802.11ax,1.0,No Optical Drive,Windows 11 Home,Yes,50 Watt Hours,4.0,Laptop,1 kg 390 g,High,2.1
88,Lenovo|IdeaPad Slim 5|14IMH9|Core i5|16|1 TB|SSD14 Inches,https://www.amazon.in/Lenovo-IdeaPad-WUXGA-OLED-400Nits-83DA0049IN/dp/B0CSPG1TJZ/ref=sr_1_83?crid=3GZCZ3LUIW710&dib=eyJ2IjoiMSJ9._DNwNdzeg-WDY836nwN_d-VuLF-NcsUbHmWHwoLqXQkGgRDGy1mMin7ZyBLhPSoJxZeHHxJnyQyxaLdG6Lpt7S3eyG6Itk-MJPmiw3BdIZJq88a2OQ8WlrIPbuk8OxG-GZvhFlx_AR-iPOEAL1MEcZ4Brj3SUJoWIkiYpBF2zmUed9iax5pwP1j-q6Wy4mjQtUR0fHvn4yu6gErYnEQCO3H3PCF3sLiv7a1XgR8LQz4.TFGnHtYshT57Lkb3gWRuqAsdPuVRkA0wAURCHz8O0gg&dib_tag=se&keywords=lenovo+laptops&qid=1768082276&refinements=p_123%3A391242&rnid=91049095031&sprefix=lenovo+laptops%2Caps%2C392&sr=8-83&xpid=IzsIf9sZEUUR3,3.6,85,73990,34,0,IdeaPad Slim 5,Cloud Grey,Ultra-Portable,14 Inches,1920 x 1080 pixels,1920 x 1200 Pixels,1 Lithium Polymer batteries required. (included),14IMH9,Intel,Core i5,4.5,14.0,Lpddr5x,DDR5 RAM,16 GB,1 TB,SSD,"Stereo speakers, 2W x2, optimized with Dolby Audio",Integrated Intel Arc Graphics,Intel,Integrated,Shared,Integrated,Wi-Fi,802.11n,1.0,No Optical Drive,Windows 11 Home,Yes,57 Watt Hours,3.0,Laptop,1 kg 890 g,High,4.5
